* This is the BiomeMobWeight report file that is output every time the server starts.,RESTART GAME FOR CHANGES TO TAKE EFFECT,,NEGATIVE WEIGHT = NO SPAWN,SERVERCORE CONFIG FOR MOB CATEGORY CAPS,,,
* ,,,DELETING LINE ALSO = NO SPAWN,INCONTROL OPERATES ON ITS OWN LAYER AND TAKES PRIORITY OVER SBU AND ALSO BYPASSES MOB CAPS,,,
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.,Data > highlight the table headers A6:H6 > click Filter in ribbon for filtering,,.rpt / .txt is purely output. This .csv is what the mod reads from.,,,,
* Lines starting with '*' are comments and ignored,,,See common config for what to do if we add a mod with new mobs. See CF page for tutorial rundown on everything in general.,,,,
* When this file is read, SBU writes summary information to the log file.,,,,,,
* ,biome category,biome,mob category,mob,weight,min group,max group
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage,2,1,1
2, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight,4,1,1
3, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one,8,1,1
4, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:spider,100,4,4
5, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie,95,4,4
6, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie_villager,5,1,1
7, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:skeleton,100,4,4
8, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:creeper,100,4,4
9, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime,100,4,4
10, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:witch,5,1,1
11, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned,2,1,1
12, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer,30,1,1
13, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
14, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
15, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
16, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
17, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
18, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling,2,1,1
19, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_angler,2,1,1
20, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_brute,1,1,1
21, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_priest,1,1,1
22, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_warlock,1,1,1
23, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:coral_golem,1,1,1
24, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
25, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
26, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
27, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
28, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
29, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:door_knight,13,1,1
30, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
31, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
32, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
33, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:krampus,2,1,1
34, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
35, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
36, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:missioner,4,1,1
37, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
38, ocean, alexscaves:abyssal_chasm, MONSTER, mowziesmobs:grottol,2,1,1
39, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
40, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
41, ocean, alexscaves:abyssal_chasm, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
42, ocean, alexscaves:abyssal_chasm, MONSTER, majruszsdifficulty:illusioner,8,1,1
43, ocean, alexscaves:abyssal_chasm, MONSTER, majruszsdifficulty:tank,3,1,1
44, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
45, ocean, alexscaves:abyssal_chasm, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
46, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
