Mods count: 493
 
jar name                                                                           | mod id (isMCreator)                          | mixin configs
fmlloader-1.20.1-47.4.4.jar (modloader)                                            | forge                                        | 
accessories-neoforge-1.0.0-beta.46+1.20.1.jar                                      | accessories                                  | accessories-neoforge.mixins.json, accessories-common.mixins.json
    /META-INF/jars/endec-0.1.8.jar                                                 |                                              | 
    /META-INF/jars/fabric-api-base-0.4.31+ef105b4977.jar                           | fabric_api_base                              | fabric-api-base.init.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-1.0.0+30ef839e77.jar              | fabric_data_attachment_api_v1                | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.6.0+6274ab9d77.jar                    | fabric_entity_events_v1                      | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-object-builder-api-v1-11.1.3+2174fc8477.jar              | fabric_object_builder_api_v1                 | fabric-object-builder-v1.mixins.json
    /META-INF/jars/gson-0.1.5.jar                                                  |                                              | 
    /META-INF/jars/netty-0.1.4.jar                                                 |                                              | 
additionaladditions-6.0.1.jar                                                      | additionaladditions                          | AdditionalAdditions.mixins.json, AdditionalAdditions.mixins.refmap.json
AdLods-1.20.1-8.1.6.0-build.1450.jar                                               | adlods                                       | adlods.mixins.json
AdvancementPlaques-1.20.1-forge-1.6.9.jar                                          | advancementplaques                           | 
AI-Improvements-1.20-0.5.2.jar                                                     | aiimprovements                               | 
alekiNiftyShips-FORGE-1.20.1-1.0.14.jar                                            | alekiships                                   | alekiships.mixins.json
Alex's Mobs Music Mod 1.20.1 v1.1.0.jar                                            | alexs_mobs_extra_music (MCreator mod)        | 
alexsmobs-1.22.9.jar                                                               | alexsmobs                                    | citadel.mixins.json
alltheleaks-0.1.4-beta+1.20.1-forge.jar                                            | alltheleaks                                  | alltheleaks.mixins.json
AmbientSounds_FORGE_v6.1.11_mc1.20.1.jar                                           | ambientsounds                                | ambientsounds.mixins.refmap.json, ambientsounds.mixins.json
amendments-1.20-1.2.19.jar                                                         | amendments                                   | amendments-common.mixins.json, amendments.mixins.json
AnvilRepairing-Forge-1.20.1-4.0.9.jar                                              | anvilrepairing                               | 
ApothicAttributes-1.20.1-1.3.7.jar                                                 | attributeslib                                | attributeslib.mixins.json
appleskin-forge-mc1.20.1-2.5.1.jar                                                 | appleskin                                    | 
appliedenergistics2-forge-15.4.8.jar                                               | ae2                                          | ae2.mixins.refmap.json, ae2.mixins.json
aquacombat 1.2.jar                                                                 | aquacombat                                   | 
Aquaculture-1.20.1-2.5.5.jar                                                       | aquaculture                                  | 
aquaculturedelight-1.1.1-forge-1.20.1.jar                                          | aquaculturedelight (MCreator mod)            | 
Aquamirae Mod Boss Music Tweaks 1.20.1 v1.1.0.jar                                  | aquamirae_mod_extra_music (MCreator mod)     | 
aquamirae-6.API15.jar                                                              | aquamirae                                    | aquamirae.mixins.json
aquamirae_delight-1.5.2-forge-1.20.1.jar                                           | aquamirae_delight                            | mixins.aquamirae_delight.json
architectury-9.2.14-forge.jar                                                      | architectury                                 | architectury.mixins.json, architectury-common.mixins.json
Armor of the Ages-forge-1.20.1-1.3.8.jar                                           | armoroftheages                               | armoroftheages.mixins.json, armoroftheages.forge.mixins.json
ArmorTrimItemFix-forge-1.20.1-1.2.0.jar                                            | armortrimitemfix                             | 
artifacts-forge-9.5.16.jar                                                         | artifacts                                    | mixins.artifacts.forge.json, mixins.artifacts.common.json
    /META-INF/jars/expandability-forge-9.0.4.jar                                   | expandability                                | expandability.mixins.json, expandability-common.mixins.json
artifactscrafting-1.0.0-forge-1.20.1.jar                                           | artifactscrafting (MCreator mod)             | 
astikorcarts-1.20.1-1.1.8.jar                                                      | astikorcarts                                 | 
AsyncParticles-2.3.3+1.20.1.jar                                                    | asyncparticles                               | forge-asyncparticles-forge.mixins.json, fabric-asyncparticles-common.mixins.json, forge-asyncparticles.target-modifier.mixins.json, forge-asyncparticles-common.mixins.json, fabric-asyncparticles-common_legacy_mod_compat.mixins.json, fabric-asyncparticles.target-modifier.mixins.json, forge-asyncparticles-common_legacy_mod_compat.mixins.json
ATi Structures V1.4.3 (1.20+).jar                                                  | atistructures                                | 
AttributeFix-Forge-1.20.1-21.0.4.jar                                               | attributefix                                 | attributefix.mixins.json
AutoLeveling-1.20-1.19b.jar                                                        | autoleveling                                 | autoleveling.mixins.json
BadOptimizations-2.3.0-1.20.1.jar                                                  | badoptimizations                             | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
baguettelib-1.20.1-Forge-1.0.0.jar                                                 | baguettelib                                  | baguettelib.mixins.json
balm-forge-1.20.1-7.3.33-all.jar                                                   | balm                                         | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.10+1.20.1.jar                             | kuma_api                                     | kuma_api.forge.mixins.json, kuma_api.mixins.json
bedspreads-forge-6.3.0+1.20.1.jar                                                  | bedspreads                                   | bedspreads.mixins.json
better_climbing-forge-3.jar                                                        | better_climbing                              | better_climbing.xplat_mixins.json
BetterAdvancements-Forge-1.20.1-0.4.2.10.jar                                       | betteradvancements                           | 
betterarcheology-1.2.1-1.20.1.jar                                                  | betterarcheology                             | betterarcheology.mixins.json
BetterBeacons-Forge-1.20.1-2.0.0.jar                                               | better_beacons                               | better_beacons.mixins.json, better_beacons-common.mixins.json
betterbiomeblend-1.4.2.jar                                                         | betterbiomeblend                             | betterbiomeblend.mixins.json, betterbiomeblend-common.mixins.json
bettercombat-forge-1.8.6+1.20.1.jar                                                | bettercombat                                 | bettercombat.mixins.json
BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar                                | bcc                                          | bcc.mixins.json, bcc.forge.mixins.json
betterdays-1.20.1-3.1.1.1-FORGE.jar                                                | betterdays                                   | 
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           | spectrelib                                   | 
betterendcities-1.0.0-1.20.1.jar                                                   | betterendcities                              | 
BetterF3-7.0.2-Forge-1.20.1.jar                                                    | betterf3                                     | betterf3.mixins.json, betterf3.forge.mixins.json
betterfpsdist-1.20.1-6.0.jar                                                       | betterfpsdist                                | betterfpsdist.mixins.json
BetterThanMending-1.7.2.jar                                                        | betterthanmending                            | 
BetterTridents-v8.0.1-1.20.1-Forge.jar                                             | bettertridents                               | bettertridents.common.mixins.json
bigger_vanilla_trees-forge-1.20-1.0.jar                                            | bigger_vanilla_trees                         | 
blazegear-1.4.4.jar                                                                | blazegear                                    | 
blueprint-1.20.1-7.1.3.jar                                                         | blueprint                                    | blueprint.mixins.json
blur-forge-3.1.1.jar                                                               | blur                                         | mixins.blur.json
    /META-INF/jars/satin-forge-1.20.1+1.15.0-SNAPSHOT.jar                          | satin                                        | mixins.satin.client.json
BoatBreakFix-Universal-1.0.2.jar                                                   | boatbreakfix                                 | boatbreakfix.mixins.json
BOMD-Forge-1.20.1-1.1.2.jar                                                        | bosses_of_mass_destruction                   | mixins.bosses_of_mass_destruction.json, mixins.bosses_of_mass_destruction.refmap.json
Bookshelf-Forge-1.20.1-20.2.13.jar                                                 | bookshelf                                    | bookshelf.forge.mixins.json, bookshelf.common.mixins.json
born_in_chaos_[Forge]1.20.1_1.7.jar                                                | born_in_chaos_v1 (MCreator mod)              | 
Boss Music Mod 1.20.x v1.2.1.jar                                                   | boss_music_mod                               | 
bounced-4.1.0-forge1.20.1.jar                                                      | bounced                                      | bounced.mixins.json
Bountiful-6.0.4+1.20.1-forge.jar                                                   | bountiful                                    | 
bowinfinityfix-1.20.x-forge-2.6.0.jar                                              | bowinfinityfix                               | 
Butchersdelight beta 1.20.1 2.1.0.jar                                              | butchersdelight (MCreator mod)               | 
bygonenether-1.3.2-1.20.x.jar                                                      | bygonenether                                 | bygonenether.mixins.json
caelus-forge-3.2.0+1.20.1.jar                                                      | caelus                                       | caelus.mixins.json
CarbonConfig-1.20-1.2.7.1.jar                                                      | carbonconfig                                 | 
    /META-INF/jarjar/Primitive Collections-0.8.9.jar                               |                                              | 
carryon-forge-1.20.1-2.1.2.7.jar                                                   | carryon                                      | carryon.mixins.json, carryon.forge.mixins.json
cataclysmiccombat-1.4.1-1.20.1.jar                                                 | cataclysmiccombat                            | 
catloaf-1.1.3-1.20.x-FORGE.jar                                                     | catloaf                                      | catloaf.mixins.json
cavedust-2.0.4-1.20.1-forge.jar                                                    | cavedust                                     | cavedust-common.mixins.json, cavedust.mixins.json
celestisynth-1.20.1-1.3.1.jar                                                      | celestisynth                                 | celestisynth.mixins.json
CerbonsAPI-Forge-1.20.1-1.1.0.jar                                                  | cerbons_api                                  | cerbons_api.mixins.json, cerbons_api-common.mixins.json
charmofundying-forge-6.5.0+1.20.1.jar                                              | charmofundying                               | charmofundying.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           | spectrelib                                   | 
chat_heads-0.13.18-forge-1.20.jar                                                  | chat_heads                                   | chat_heads.forge.mixins.json, chat_heads.mixins.json
chefs-delight-1.0.3-forge-1.20.1.jar                                               | chefsdelight                                 | 
cherishedworlds-forge-6.1.7+1.20.1.jar                                             | cherishedworlds                              | cherishedworlds.mixins.json
Chimes-v2.0.1-1.20.1.jar                                                           | chimes                                       | 
